yearID,teamID,lgID,salary
1992,PHI,NL,24383834
1992,PIT,NL,33944167
1992,SDN,NL,26854167
1992,SEA,AL,23179833
1992,SFN,NL,33163168
1992,SLN,NL,27583836
1992,TEX,AL,30128167
1992,TOR,AL,44788666
1993,ATL,NL,41641417
1993,BAL,AL,29096500
1993,BOS,AL,37120583
1993,CAL,AL,28588334
1993,CHA,AL,39696166
1993,CHN,NL,39386666
1993,CIN,NL,44879666
1993,CLE,AL,18561000
1993,COL,NL,10353500
1993,DET,AL,38150165
1993,FLO,NL,19330545
1993,HOU,NL,30210500
1993,KCA,AL,41346167
1993,LAN,NL,39331999
1993,MIN,AL,28217933
1993,ML4,AL,23806834
1993,MON,NL,18899333
1993,NYA,AL,42624900
1993,NYN,NL,39043667
1993,OAK,AL,37812333
1993,PHI,NL,28538334
1993,PIT,NL,24822467
1993,SDN,NL,25511333
1993,SEA,AL,32696333
1993,SFN,NL,35050000
1993,SLN,NL,23367334
1993,TEX,AL,36376959
1993,TOR,AL,47279166
1994,ATL,NL,49383513
1994,BAL,AL,38849769
1994,BOS,AL,37859084
1994,CAL,AL,25156218
1994,CHA,AL,39183836
1994,CHN,NL,36287333
1994,CIN,NL,40961833
1994,CLE,AL,30490500
1994,COL,NL,23887333
1994,DET,AL,41446501
1994,FLO,NL,21633000
1994,HOU,NL,33126000
1994,KCA,AL,40541334
1994,LAN,NL,38000001
1994,MIN,AL,28438500
1994,ML4,AL,24350500
1994,MON,NL,19098000
1994,NYA,AL,45731334
1994,NYN,NL,30956583
1994,OAK,AL,34172500
1994,PHI,NL,31599000
1994,PIT,NL,24217250
1994,SDN,NL,14916333
1994,SEA,AL,29228500
1994,SFN,NL,42638666
1994,SLN,NL,29275601
1994,TEX,AL,32973597
1994,TOR,AL,43433668
1995,ATL,NL,47235445
1995,BAL,AL,43942521
1995,BOS,AL,32455518
1995,CAL,AL,31223171
1995,CHA,AL,46961282
1995,CHN,NL,29505834
1995,CIN,NL,43144670
1995,CLE,AL,37937835
1995,COL,NL,34154717
1995,DET,AL,37044168
1995,FLO,NL,24515781
1995,HOU,NL,34169834
1995,KCA,AL,29532834
1995,LAN,NL,39273201
1995,MIN,AL,25410500
1995,ML4,AL,17798825
1995,MON,NL,12364000
1995,NYA,AL,48874851
1995,NYN,NL,27674992
1995,OAK,AL,37739225
1995,PHI,NL,30555945
1995,PIT,NL,18355345
1995,SDN,NL,26382334
1995,SEA,AL,36481311
1995,SFN,NL,36462777
1995,SLN,NL,37101000
1995,TEX,AL,34581451
1995,TOR,AL,50590000
1996,ATL,NL,49698500
1996,BAL,AL,54490315
1996,BOS,AL,42393500
1996,CAL,AL,28738000
1996,CHA,AL,45139500
1996,CHN,NL,33081000
1996,CIN,NL,42526334
1996,CLE,AL,48107360
1996,COL,NL,40179823
1996,DET,AL,23438000
1996,FLO,NL,31022500
1996,HOU,NL,28487000
1996,KCA,AL,20281250
1996,LAN,NL,35355000
1996,MIN,AL,23117000
1996,ML4,AL,21730000
1996,MON,NL,16264500
1996,NYA,AL,54191792
1996,NYN,NL,24479500
1996,OAK,AL,21243000
1996,PHI,NL,34314500
1996,PIT,NL,23017500
1996,SDN,NL,28348172
1996,SEA,AL,41328501
1996,SFN,NL,37144725
1996,SLN,NL,40269667
1996,TEX,AL,39041528
1996,TOR,AL,29555083
1997,ANA,AL,31135472
1997,ATL,NL,52278500
1997,BAL,AL,58516400
1997,BOS,AL,43558750
1997,CHA,AL,57740000
1997,CHN,NL,42155333
1997,CIN,NL,49768000
1997,CLE,AL,56802460
1997,COL,NL,43559667
1997,DET,AL,17272000
1997,FLO,NL,48692500
1997,HOU,NL,34777500
1997,KCA,AL,34655000
1997,LAN,NL,45380304
1997,MIN,AL,34072500
1997,ML4,AL,23655338
1997,MON,NL,19295500
1997,NYA,AL,62241545
1997,NYN,NL,39800400
1997,OAK,AL,24018500
1997,PHI,NL,36656500
1997,PIT,NL,10771667
1997,SDN,NL,37363672
1997,SEA,AL,41540661
1997,SFN,NL,35592378
1997,SLN,NL,45456667
1997,TEX,AL,53448838
1997,TOR,AL,47079833
